ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,TA,ERA_SLOPE,1.00,-9999
1,TA,ERA_INTERCEPT,-0.05,-9999
1,TA,ERA_RMSE,2.38,-9999
1,TA,ERA_CORRELATION,0.95,-9999
2,PA,ERA_SLOPE,1.00,-9999
2,PA,ERA_INTERCEPT,-0.14,-9999
2,PA,ERA_RMSE,0.24,-9999
2,PA,ERA_CORRELATION,0.78,-9999
3,VPD,ERA_SLOPE,1.00,-9999
3,VPD,ERA_INTERCEPT,-0.07,-9999
3,VPD,ERA_RMSE,3.64,-9999
3,VPD,ERA_CORRELATION,0.93,-9999
4,WS,ERA_SLOPE,0.75,-9999
4,WS,ERA_INTERCEPT,1.22,-9999
4,WS,ERA_RMSE,1.67,-9999
4,WS,ERA_CORRELATION,0.73,-9999
5,P,ERA_SLOPE,0.17,-9999
5,P,ERA_INTERCEPT,-9999,-9999
5,P,ERA_RMSE,-9999,-9999
5,P,ERA_CORRELATION,-9999,-9999
6,SW_IN,ERA_SLOPE,1.00,-9999
6,SW_IN,ERA_INTERCEPT,0.20,-9999
6,SW_IN,ERA_RMSE,82.38,-9999
6,SW_IN,ERA_CORRELATION,0.97,-9999
7,LW_IN,ERA_SLOPE,1.00,-9999
7,LW_IN,ERA_INTERCEPT,0.01,-9999
7,LW_IN,ERA_RMSE,17.24,-9999
7,LW_IN,ERA_CORRELATION,0.94,-9999
8,LW_IN_JSB,ERA_SLOPE,1.00,-9999
8,LW_IN_JSB,ERA_INTERCEPT,0.00,-9999
8,LW_IN_JSB,ERA_RMSE,25.75,-9999
8,LW_IN_JSB,ERA_CORRELATION,0.91,-9999
